position,ppr_points,var,moving_avg,up_vol,down_vol,hv_plays,hv_points,ou,def_rk,attempts,conv_rate,ay_att,yac_att,yds_route
WR,6.70,0.48,11.16,1.84,0.55,0,0,46.5,12,5,0.60,3.36,0.20,3.56
WR,10.50,0.51,3.80,1,1,1,10.50,46.5,12,1,1.00,35.00,0.00,35.00
TE,5.30,0.47,3.58,1.70,0.49,1,3.20,46.5,12,3,0.67,5.78,1.00,6.78
TE,6.00,0.79,9.68,2.30,0.28,1,3.40,46.5,4,3,1.00,1.78,1.56,3.33
WR,12.10,0.75,4.58,2.19,0.27,1,3.40,46.5,12,7,0.86,0.90,0.41,1.31
WR,22.60,0.61,6.76,2.03,0.39,1,15.30,46.5,4,7,0.71,1.65,0.80,2.45
TE,1.70,0.85,5.14,1,1,0,0,46.5,4,1,1.00,-2.00,9.00,7.00
WR,3.30,0.67,7.20,2.09,0.34,0,0,46.5,4,3,0.67,2.11,0.44,2.55
WR,19.40,0.37,19.14,1.58,0.65,0,0,46.5,12,12,0.75,0.92,0.04,0.97
TE,3.50,0.86,5.04,2.57,0.33,0,0,46.5,12,4,0.50,1.63,0.38,2.00
TE,35.00,0.62,11.38,1.98,0.32,2,16.40,46.5,4,16,0.75,0.36,0.16,0.51
WR,15.80,1.09,1.80,1,1,1,11.90,47,29,3,1.00,5.11,2.44,7.55
TE,20.20,0.69,6.98,2.13,0.25,2,11.10,47,22,7,0.86,1.39,0.59,1.98
WR,14.40,0.85,3.72,2.42,0.33,2,7.80,47,29,5,1.00,1.76,2.00,3.76
WR,12.50,0.73,3.20,2.09,0.18,1,5.20,47,29,9,0.56,1.17,0.41,1.58
TE,1.90,0.86,2.78,2.34,0.52,0,0,47,22,1,1.00,9.00,0.00,9.00
TE,2.10,1.20,6.95,1,1,0,0,47,29,1,1.00,6.00,5.00,11.00
WR,29.00,0.81,12.10,2.52,0.29,1,10.30,47,22,13,0.69,1.06,0.20,1.26
WR,24.10,0.24,21.76,1.39,0.78,1,8.60,47,29,18,0.61,0.45,0.10,0.55
WR,9.50,0.90,6.42,2.77,0.26,1,3.90,47,22,4,1.00,1.75,1.69,3.44
TE,4.60,0.56,4.68,1.85,0.41,0,0,47,29,2,1.00,1.75,4.75,6.50
TE,6.40,0.63,6.04,1.89,0.32,0,0,47,29,4,0.75,1.94,1.13,3.06
WR,9.20,0.49,14.56,1.68,0.35,1,3.50,45,7,7,0.57,2.59,0.29,2.88
WR,17.70,0.75,11.82,2.25,0.34,1,10.10,45,7,9,0.56,1.81,0.10,1.91
TE,7.50,0.56,3.18,2.06,0.52,1,1.40,45,7,6,0.67,1.22,0.72,1.94
WR,1.80,0.57,10.54,1.86,0.41,0,0,45,7,8,0.13,1.55,0.05,1.60
WR,7.90,0.79,5.80,2.29,0.23,0,0,45,18,2,0.50,1.25,0.75,2.00
WR,2.10,0.53,2.74,1.98,0.44,0,0,45,7,2,0.50,7.00,1.00,8.00
WR,19.00,0.23,17.33,1.28,0.70,1,10.20,45,18,10,0.60,0.54,0.44,0.98
TE,33.20,0.79,6.28,2.23,0.35,2,18.80,42.5,16,9,1.00,1.06,0.44,1.51
WR,13.30,0.44,14.12,1.54,0.47,1,5.00,42.5,16,6,0.83,2.61,0.17,2.78
WR,1.90,1.14,3.05,1,1,0,0,42.5,9,2,0.50,3.25,1.00,4.25
WR,11.80,0.53,14.28,1.64,0.33,1,3.10,42.5,9,15,0.40,0.88,0.10,0.97
WR,2.20,0.92,3.93,2.20,0.29,0,0,42.5,9,5,0.20,3.12,0.08,3.20
WR,9.00,0.51,18.46,1.77,0.45,1,7.80,42.5,16,6,0.33,2.22,0.08,2.31
WR,10.20,1.19,2.18,3.21,0.30,0,0,42.5,9,6,1.00,0.81,0.36,1.17
TE,2.60,0.87,5.86,2.56,0.39,0,0,42.5,9,1,1.00,3.00,13.00,16.00
WR,10.00,0.83,5.30,2.37,0.25,0,0,48,31,5,1.00,1.40,0.60,2.00
WR,14.30,0.77,6.06,2.30,0.27,2,11.50,48,31,4,0.75,3.44,0.19,3.63
WR,6.90,0.61,11.38,1.86,0.36,0,0,48,6,6,0.50,1.92,0.45,2.36
TE,2.80,1.34,6.26,4.39,0.26,0,0,48,31,3,0.67,1.78,0.33,2.11
WR,1.60,0.36,2.02,1.54,0.70,0,0,48,31,2,0.50,2.50,0.00,2.50
WR,4.80,0.51,2.85,1,1,1,3.50,48,6,3,0.67,4.11,1.44,5.55
WR,17.90,0.57,13.20,1.86,0.43,0,0,48,6,12,0.83,0.42,0.27,0.69
WR,6.00,0.93,23.24,2.85,0.18,0,0,48,31,5,0.80,-0.12,0.92,0.80
WR,21.00,0.47,15.82,1.62,0.41,2,12.50,48,6,10,0.60,1.69,0.06,1.75
TE,2.80,0.68,7.78,2.08,0.33,0,0,48,6,3,0.67,1.33,0.22,1.56
WR,3.80,0.65,9.28,2.16,0.38,1,3.40,48,6,4,0.25,7.63,0.31,7.94
TE,16.30,0.55,7.28,1.81,0.43,2,14.90,44,30,4,0.75,1.94,3.88,5.81
WR,8.00,0.63,7.46,1.79,0.21,1,7.30,44,21,5,0.20,1.24,0.00,1.24
TE,1.10,0.93,5.34,1,1,0,0,44,30,1,1.00,1.00,0.00,1.00
WR,18.00,0.58,7.26,1.88,0.37,1,8.70,44,30,7,0.86,0.80,0.43,1.22
WR,5.60,0.57,4.68,2.00,0.37,1,3.70,44,21,4,0.50,2.81,0.50,3.31
WR,5.50,0.89,2.06,2.29,0.30,1,3.80,44,21,2,1.00,6.75,2.00,8.75
TE,14.90,0.55,7.14,1.73,0.30,1,8.40,44,21,5,0.80,1.32,1.20,2.52
