season,player,tm,fantpos,g,rush_att,rush_yds,y_a,rush_td,tgt,rec,yds,rec_td,ppr
2017,Rod Smith,DAL,RB,15,55,232,4.22,4,23,19,202,1,92.4
2017,Ty Montgomery,GNB,WR,8,71,273,3.85,3,31,23,173,1,91.6
2017,Devontae Booker,DEN,RB,13,79,299,3.78,1,38,30,275,0,91.4
2017,Cole Beasley,DAL,WR,15,0,0,"",0,63,36,314,4,91.4
2017,Torrey Smith,PHI,WR,16,1,-3,-3,0,67,36,430,2,90.7
2017,Seth Roberts,OAK,WR,15,0,0,"",0,65,43,455,1,90.5
2017,Pierre Garcon,SFO,WR,8,0,0,"",0,67,40,500,0,90
2017,Roger Lewis,NYG,WR,15,0,0,"",0,72,36,416,2,89.6
2017,Marcedes Lewis,JAX,TE,16,0,0,"",0,48,24,318,5,87.8
2017,T.J. Yeldon,JAX,RB,10,49,253,5.16,2,41,30,224,0,87.7
2017,Andre Ellington,2TM,RB,12,20,55,2.75,1,59,39,369,0,87.4
2017,Jalen Richard,OAK,RB,16,56,275,4.91,1,36,27,256,1,86.1
2017,Cordarrelle Patterson,OAK,WR,16,13,121,9.31,2,42,31,309,0,86
2017,Peyton Barber,TAM,RB,16,108,423,3.92,3,19,16,114,0,85.7
2017,DeAndre Washington,OAK,RB,15,57,153,2.68,2,45,34,197,1,85
2017,Chris Ivory,JAX,RB,14,112,382,3.41,1,28,21,175,1,84.7
2017,Shane Vereen,NYG,RB,16,45,164,3.64,0,53,44,253,0,83.7
2017,Bennie Fowler,DEN,WR,16,0,0,"",0,56,29,350,3,82
2017,Taylor Gabriel,ATL,WR,16,8,49,6.13,0,51,33,378,1,81.7
2017,Aaron Jones,GNB,RB,12,81,448,5.53,4,18,9,22,0,80
2017,Trey Burton,PHI,TE,15,0,0,"",0,31,23,248,5,79.8
2017,Ed Dickson,CAR,TE,16,0,0,"",0,48,30,437,1,79.7
2017,Antonio Gates,LAC,TE,16,0,0,"",0,52,30,316,3,79.6
2017,Adrian Peterson,2TM,RB,10,156,529,3.39,2,19,11,70,0,78.9
2017,Garrett Celek,SFO,TE,16,0,0,"",0,33,21,336,4,78.6
2017,T.J. Jones,DET,WR,14,0,0,"",0,49,30,399,1,77.9
2017,Jermaine Gresham,ARI,TE,14,0,0,"",0,46,33,322,2,77.2
2017,Donte Moncrief,IND,WR,12,0,0,"",0,47,26,391,2,77.1
2017,Seth Devalve,CLE,TE,16,0,0,"",0,58,33,395,1,76.5
2017,Elijah McGuire,NYJ,RB,16,88,315,3.58,1,26,17,177,1,76.2
2017,Doug Martin,TAM,RB,11,138,406,2.94,3,18,9,84,0,76
2017,Bruce Ellington,HOU,WR,11,3,17,5.67,0,57,29,330,2,75.7
2017,Brandon Coleman,NOR,WR,16,0,0,"",0,37,23,364,3,73.4
2017,Charles Sims,TAM,RB,16,21,95,4.52,0,47,35,249,1,73.4
2017,Charcandrick West,KAN,RB,13,18,72,4,2,34,27,150,2,73.2
2017,Alfred Morris,DAL,RB,14,115,547,4.76,1,9,7,45,0,72.2
