pos,rank_full,rank_full_alt,rank_slim,standard_abs_rk,standard_value_rk,sim_abs_rk,sim_value_rk,exp_points_for,exp_points_ag,ou,spread,abs_spread,salary,points,points_per_salary
RB,59.75,63.33333333,87,94,49,80,16,31,14,45,17,17,3100,0,0
WR,124.5,120.6666667,171,171,136,171,20,31,14,45,17,17,3300,0,0
TE,28.75,35.66666667,18.5,7,8,30,70,29,17.5,46.5,11.5,11.5,2900,0,0
TE,25.5,25,31,40,27,22,13,16,20,36,-4,4,3800,0,0
RB,62,61.66666667,51,47,63,55,83,24,20,44,4,4,5000,0,0
WR,95.25,90.33333333,107,110,110,104,57,18.25,16.75,35,1.5,1.5,4600,0,0
TE,33,42,34.5,26,6,43,57,17,26.5,43.5,-9.5,9.5,3100,0,0
RB,57.25,59.33333333,74,73,51,75,30,11,32,43,-21,21,4400,0.1,0.022727273
RB,66.75,86,83.5,66,9,101,91,17.25,23.25,40.5,-6,6,4200,0.1,0.023809524
RB,56.5,35.66666667,35,46,119,24,37,23.5,27,50.5,-3.5,3.5,7800,0.2,0.025641026
RB,35.75,43,34.5,28,14,41,60,21.5,19,40.5,2.5,2.5,3300,0.1,0.03030303
QB,24.46831597,19.49508102,25.66189236,33,33,10,6,18,19,37,-1,1,6000,0.2,0.033333333
WR,131,112,167,186,188,148,2,22.5,25.5,48,-3,3,4200,0.2,0.047619048
RB,34.25,43.66666667,33.5,26,6,41,64,19.75,24.25,44,-4.5,4.5,4100,0.2,0.048780488
QB,22.75887182,28.88859463,25.48993644,21,6,49,49,29.5,15.5,45,14,14,5200,0.26,0.05
RB,66,74.33333333,97,106,41,88,29,22.75,19.75,42.5,3,3,3900,0.2,0.051282051
QB,16.36904762,21.42857143,9.523809524,1,1,15,38,19.25,19.25,38.5,0,0,5000,0.36,0.072
QB,11.6640625,12.50265523,4.574142157,3,10,7,31,25.5,27,52.5,-1.5,1.5,6200,0.52,0.083870968
RB,84,74.66666667,111.5,112,112,111,1,20.25,23.25,43.5,-3,3,4300,0.4,0.093023256
