player,fantpos,espn_rank,draft_year,height,weight,armlength,handsize,forty,ten_split,bench,vertical,broad,shuttle,cone,clust
Marqise Lee,WR,90,2000,72,196,31.75,9.5,4.52,1.59,11,38,127,4.01,7.01,2
Travis Benjamin,WR,52,2000,70,175,31.75,8.75,4.36,1.59,14,38,119,4.22,7.01,2
Terrance Williams,WR,81,2000,74,210,31.25,8.625,4.52,1.61,11,32.5,119,4.32,7.01,2
Donte Moncrief,WR,68,2000,74,216,32.375,9.125,4.4,1.54,13,39.5,132,4.3,7.02,2
Devin Funchess,WR,87,2000,76,225,33.5,9.75,4.63,1.64,17,38.5,122,4.53,7.03,2
Nick Vannett,TE,80,2000,78,261,34.25,10,4.94,1.77,17,30,112,4.2,7.05,2
Michael Roberts,TE,57,2000,77,265,33.25,11.5,4.94,1.7,21,30,110,4.49,7.05,2
Chris Conley,WR,61,2000,75,205,33.75,9.875,4.35,1.52,18,45,139,4.3,7.06,2
Peyton Barber,RB,34,2000,71,225,30.25,9.375,4.65,1.64,20,32.25,111,4.21,7.07,2
Adam Shaheen,TE,80,2000,78,270,33.5,9.625,4.79,1.71,24,32.5,121,4.38,7.09,2
Levine Toilolo,TE,59,2000,80,268,34.5,10.25,4.9,1.72,18,32.25,115,4.57,7.09,2
James Washington,WR,83,2000,71,213,32.375,9.75,4.55,1.63,14,36.75,121,4.32,7.11,2
Spencer Ware,RB,48,2000,70,229,30.568,9.07,4.67,1.64,17,35.5,119,4.32,7.12,2
Mike Gillislee,RB,69,2000,71,210,31.125,9.375,4.59,1.62,15,30.5,119,4.4,7.12,2
Alexander Mattison,RB,69,2000,71,221,31,9.125,4.67,1.51,22,35,127,4.29,7.13,2
Zach Pascal,WR,48,2000,74,219,32,10,4.57,1.62,14,36,126,4.3,7.15,2
Thomas Rawls,RB,41,2000,69,215,30.75,9.5,4.58,1.69,15,35.5,116,4.42,7.15,2
Alfred Blue,RB,33,2000,74,229,32.375,9.875,4.7,1.66,13,32,121,4.5,7.15,2
Michael Floyd,WR,93,2000,74,220,32.875,9.375,4.47,1.59,16,36.5,122,4.42,7.16,2
Wayne Gallman,RB,58,2000,72,217,32.625,9.125,4.57,1.67,21,30,120,4.28,7.17,2
Jordan Leggett,TE,76,2000,77,258,33.5,10.375,4.76,1.75,18,33,117,4.46,7.22,2
Darrel Williams,RB,33,2000,71,224,31,9.375,4.69,1.67,22,32,109,4.3,7.25,2
Ito Smith,RB,36,2000,69,195,28.875,9.375,4.5,1.62,22,36.5,119,4.61,7.27,2
Dion Sims,TE,61,2000,76,268,33.125,10.5,4.75,1.62,24,35,112,4.58,7.29,2
Terrance West,RB,68,2000,70,225,31,9.125,4.54,1.63,16,33.5,120,4.49,7.33,2
Jacquizz Rodgers,RB,71,2000,66,205,30.5,8.875,4.64,1.65,13,33.5,115,4.32,7.34,2
Damien Williams,RB,45,2000,71,224,30.625,9.125,4.45,1.56,16,32.75,121,4.25,7.37,2
Nick OLeary,TE,59,2000,75,252,29.75,9.375,4.93,1.78,21,30.5,110,4.5,7.4,2
Jordan Thomas,TE,33,2000,77,277,34.125,11,4.74,1.71,16,28.25,110,4.72,7.48,2
Kapri Bibbs,RB,41,2000,70,203,31.375,8.5,4.63,1.59,24,29,106,4.66,7.55,2
Jeremy Hill,RB,79,2000,73,230,32.625,10.375,4.65,1.66,20,30,113,4.64,7.69,2
Tavon Austin,WR,93,2000,68,180,30,9.125,4.34,1.55,14,32,120,4.01,6.57,2
Dante Pettis,WR,77,2000,73,195,32.25,9.5,4.53,1.62,15,36,125,4.23,6.93,1
Cardale Jones,QB,47,2000,77,250,33.75,9.75,4.81,1.67,20,36,125,4.5,7.36,1
Mack Hollins,WR,73,2000,76,221,33.25,9.75,4.53,1.53,17,35.36,122,4.23,6.93,1
TJ Jones,WR,53,2000,72,190,33.375,9.375,4.48,1.54,15,33,119,4.27,6.82,1
Josh Reynolds,WR,67,2000,75,196,31.5,9.375,4.57,1.62,15,36.5,124,4.13,6.83,1
Rashad Greene,WR,77,2000,71,190,31.625,9,4.53,1.63,15,36.25,122,4.12,6.88,1
Jeremy McNichols,RB,60,2000,69,205,31.5,10,4.49,1.55,16,35.5,121,4.28,6.93,1
Kyle Lauletta,QB,78,2000,75,221,30.625,9.75,4.81,1.67,17,31,113,4.07,6.95,1
Deontay Burnett,WR,52,2000,72,186,31.5,8.625,4.81,1.71,15,30.5,121,4.28,6.96,1
Javon Wims,WR,42,2000,76,215,31.5,9.25,4.56,1.6,17,33.5,114,4.58,7,1
Landry Jones,QB,74,2000,76,225,33,9.125,5.11,1.77,18,31,115,4.3,7.12,1
Cameron Artis-Payne,RB,50,2000,70,215,29.625,8.875,4.53,1.61,17,36.5,118,4.3,7.13,1
Jake Rudock,QB,32,2000,75,212,32.751,9.718,4.93,1.8,17,29,111,4.27,7.14,1
Nathan Peterman,QB,77,2000,74,225,31.375,9.875,4.82,1.67,18,31,110,4.31,7.14,1
Drew Sample,TE,77,2000,77,255,33.375,9.625,4.71,1.65,20,33.5,115,4.31,7.15,1
Justin Hunter,WR,90,2000,76,203,33.25,9.375,4.44,1.58,16,40,137,4.33,7.24,1
Sean Mannion,QB,68,2000,78,223,33.5,9,5.14,1.87,17,31,105,4.39,7.29,1
Cordarrelle Patterson,WR,89,2000,74,228,31.625,9,4.42,1.6,18,37,128,4.45,7.33,1
Jaelen Strong,WR,88,2000,74,220,32.5,9,4.44,1.57,17,42,123,4.26,7.39,1
Auden Tate,WR,55,2000,77,228,33.75,9.375,4.7,1.65,18,31,112,4.63,7.42,1
Nate Sudfeld,QB,59,2000,78,227,34.25,9.875,4.98,1.84,18,29.25,105,4.53,7.47,1
Garrett Gilbert,QB,31,2000,76,230,33.188,9.848,4.88,1.74,18,29.5,117,4.46,7.48,1
David Fales,QB,63,2000,74,213,31.75,9.25,4.99,1.72,17,28,103,4.5,7.55,1
Ryan Griffin,QB,48,2000,77,210,33.624,9.978,5.25,1.87,16,25.5,101,4.83,7.69,1
Josh Adams,RB,54,2000,74,225,33.75,9.25,4.56,1.64,18,34,122,4.26,6.83,1
Tajae Sharpe,WR,56,2000,74,194,32.25,8.375,4.55,1.55,11,33.5,114,4.25,6.96,1
Keon Hatcher,WR,36,2000,73,212,32,9.5,4.64,1.64,16,34,120,4.34,7.1,1
