season,week,weekday,game_date,game_hour,favorite,underdog,spread,total
2015,14,Mon,2015-12-14,8,NYG,MIA,-2,48
2015,15,Thu,2015-12-17,8,TB,STL,-1,41
2015,15,Sat,2015-12-19,8,NYJ,DAL,-3.5,41
2015,15,Sun,2015-12-20,1,HOU,IND,-2,41.5
2015,15,Sun,2015-12-20,1,KC,BAL,-6.5,41
2015,15,Sun,2015-12-20,1,BUF,WAS,-2,46
2015,15,Sun,2015-12-20,1,TEN,NE,-14.5,48
2015,15,Sun,2015-12-20,8,ARI,PHI,-4,51.5
2015,15,Sun,2015-12-20,1,CAR,NYG,-5,46.5
2015,15,Sun,2015-12-20,4,CLE,SEA,-14.5,45.5
2015,15,Sun,2015-12-20,4,GB,OAK,-4,47
2015,15,Sun,2015-12-20,4,MIA,SD,-1,47
2015,15,Sun,2015-12-20,4,DEN,PIT,-7.5,45.5
2015,15,Sun,2015-12-20,4,CIN,SF,-6.5,41
2015,15,Sun,2015-12-20,1,CHI,MIN,-4,44
2015,15,Sun,2015-12-20,1,ATL,JAC,-2,48
2015,15,Mon,2015-12-21,8,DET,NO,-2.5,52
2015,16,Thu,2015-12-24,8,SD,OAK,-4,45.5
2015,16,Sat,2015-12-26,8,WAS,PHI,-3.5,48.5
2015,16,Sun,2015-12-27,1,CAR,ATL,-7,46
2015,16,Sun,2015-12-27,1,DAL,BUF,-6.5,42.5
2015,16,Sun,2015-12-27,4,JAC,NO,-2.5,53.5
2015,16,Sun,2015-12-27,1,SF,DET,-9,42.5
2015,16,Sun,2015-12-27,1,CLE,KC,-11.5,42.5
2015,16,Sun,2015-12-27,1,IND,MIA,-2.5,44
2015,16,Sun,2015-12-27,1,NE,NYJ,-2.5,45.5
2015,16,Sun,2015-12-27,1,HOU,TEN,-3.5,39
2015,16,Sun,2015-12-27,4,GB,ARI,-6,50.5
2015,16,Sun,2015-12-27,1,PIT,BAL,-11.5,47.5
2015,16,Sun,2015-12-27,4,STL,SEA,,
2015,16,Sun,2015-12-27,8,NYG,MIN,-7,44.5
2015,16,Sun,2015-12-27,1,CHI,TB,-3,44
2015,16,Mon,2015-12-28,8,CIN,DEN,-4,39
2015,17,Sun,2016-01-03,1,BAL,CIN,-9.5,41
2015,17,Sun,2016-01-03,4,STL,SF,,
2015,17,Sun,2016-01-03,4,SEA,ARI,-6,47
2015,17,Sun,2016-01-03,4,SD,DEN,-10,42
2015,17,Sun,2016-01-03,8,MIN,GB,-3,44
2015,17,Sun,2016-01-03,1,PHI,NYG,-3.5,51
2015,17,Sun,2016-01-03,1,DET,CHI,-2.5,45
2015,17,Sun,2016-01-03,1,WAS,DAL,-3,41
2015,17,Sun,2016-01-03,1,TEN,IND,-4,39
2015,17,Sun,2016-01-03,4,OAK,KC,-6.5,43.5
2015,17,Sun,2016-01-03,1,PIT,CLE,-13,47
2015,17,Sun,2016-01-03,1,JAC,HOU,-6,45
2015,17,Sun,2016-01-03,1,NO,ATL,-6,53.5
2015,17,Sun,2016-01-03,1,NE,MIA,-10,46.5
2015,17,Sun,2016-01-03,4,TB,CAR,-10,45
2015,17,Sun,2016-01-03,1,NYJ,BUF,-3,41
2015,18,Sat,2016-01-09,8,PIT,CIN,,
2015,18,Sat,2016-01-09,4,KC,HOU,,
2015,18,Sun,2016-01-10,4,GB,WAS,,
2015,18,Sun,2016-01-10,1,SEA,MIN,,
2015,19,Sat,2016-01-16,4,KC,NE,-6,44
2015,19,Sat,2016-01-16,8,GB,ARI,-7,49.5
2015,19,Sun,2016-01-17,4,PIT,DEN,-7,41.5
2015,19,Sun,2016-01-17,1,SEA,CAR,-2.5,42
2015,20,Sun,2016-01-24,6,ARI,CAR,-3,47.5
2015,20,Sun,2016-01-24,3,NE,DEN,-3,45
2015,21,Sun,2016-02-07,6,CAR,DEN,-5,43.5
2016,1,Thu,2016-09-08,8,CAR,DEN,-3,40.5
2016,1,Sun,2016-09-11,4,DET,IND,-2.5,51.5
2016,1,Sun,2016-09-11,1,TB,ATL,-2.5,47
2016,1,Sun,2016-09-11,1,MIN,TEN,-2.5,40
2016,1,Sun,2016-09-11,1,CLE,PHI,-3.5,41
2016,1,Sun,2016-09-11,1,CIN,NYJ,-1,42
2016,1,Sun,2016-09-11,1,OAK,NO,-3,50.5
2016,1,Sun,2016-09-11,1,SD,KC,-6.5,46
2016,1,Sun,2016-09-11,1,BUF,BAL,-3,44.5
2016,1,Sun,2016-09-11,1,CHI,HOU,-5.5,42.5
2016,1,Sun,2016-09-11,1,GB,JAC,-3.5,47.5
2016,1,Sun,2016-09-11,4,MIA,SEA,-10.5,44
2016,1,Sun,2016-09-11,4,NYG,DAL,-1,47.5
