game_id,receiver_player_id,hv_plays,avg_rz_targets,hv_plays_moving_avg16,hv_plays_moving_avg8,hv_plays_moving_avg4
2011100906,00-0027681,1,2.14,1.25,1.25,1.50
2014120705,00-0026998,2,1.54,1.56,1.50,1.75
2014110907,00-0027874,1,1.95,2.00,2.25,3.00
2015120605,00-0027816,1,1.00,1.00,1.00,1.00
2013100605,00-0026189,4,1.45,1.38,1.63,2.00
2013101311,00-0029638,1,1.67,1.50,1.50,2.00
2016103007,00-0030514,2,1.53,1.50,1.75,1.75
2018120908,00-0032966,1,1.10,1.60,1.60,1.75
2011103100,00-0023496,1,1.21,2.00,2.13,1.75
2014092806,00-0028263,1,1.14,1.71,1.71,1.50
2011121812,00-0027996,1,1.14,1.86,1.86,2.00
2010112104,00-0026123,2,1.20,1.50,1.50,1.50
2013100605,00-0024324,1,1.53,1.44,1.63,2.00
2019092205,00-0031610,1,1.29,1.00,1.00,1.00
2014121411,00-0024389,1,1.42,1.38,1.25,1.25
2019120813,00-0030431,2,1.48,1.50,1.13,1.25
2014101907,00-0029614,1,1.07,1.31,1.38,1.25
2018090900,00-0031558,1,1.40,1.00,1.00,1.00
2010091301,00-0021236,1,1.13,1.00,1.00,1.00
2011110611,00-0026937,1,1.45,1.27,1.25,1.25
2015101805,00-0027874,1,2.20,2.13,1.88,1.50
2011122600,00-0027944,3,1.75,1.80,1.80,1.75
2011010212,00-0027702,1,1.73,1.67,1.88,2.00
2010100303,00-0027006,1,1.50,1.50,1.50,1.75
2011091804,00-0020498,2,1.64,1.63,1.63,1.50
2019110304,00-0034631,1,1.00,1.00,1.00,1.00
2013100700,00-0028091,2,1.27,1.69,1.63,1.25
2009111500,00-0023462,2,1.43,1.40,1.40,1.50
2017111201,00-0031381,2,1.86,1.75,1.38,1.25
2010102409,00-0026373,1,1.29,1.00,1.00,1.00
2016110300,00-0031408,3,1.52,1.94,2.00,1.50
2017102901,00-0026986,2,1.52,1.56,1.50,2.00
2016102303,00-0028067,1,1.83,1.44,1.38,1.50
2011101602,00-0025463,1,1.50,1.67,1.67,1.50
2009110806,00-0004541,1,1.25,2.00,2.00,1.50
2011121106,00-0006101,1,2.03,1.44,1.38,1.25
2016100907,00-0027685,1,1.62,1.63,1.50,1.75
2014101300,00-0027061,1,1.46,1.44,1.38,1.00
2011112711,00-0025410,1,1.61,2.31,2.00,1.75
2019091505,00-0031744,1,1.75,1.00,1.00,1.00
2014122200,00-0027685,4,1.47,1.75,2.25,2.25
2016103010,00-0029000,1,1.52,1.50,1.38,1.25
2013121503,00-0025516,1,1.50,1.31,1.25,1.50
2013120200,00-0028434,2,1.36,1.63,1.50,1.75
2014092900,00-0027656,1,2.06,2.06,1.75,1.50
2011102310,00-0022127,1,1.27,1.75,1.88,1.75
2016091807,00-0026189,1,1.48,1.63,1.38,1.50
2009110104,00-0026268,1,1.00,1.00,1.00,1.00
2015111507,00-0031373,4,1.75,1.60,1.50,1.50
2009120600,00-0006101,1,2.00,1.00,1.00,1.00
2012112600,00-0027089,1,1.60,1.31,1.00,1.00
2016091804,00-0026035,2,1.55,1.38,1.25,1.25
2015112905,00-0024334,4,2.03,1.44,1.25,1.00
2012093011,00-0023496,3,1.32,2.06,1.88,1.50
2014120701,00-0028040,1,1.50,1.56,1.38,1.25
2016110608,00-0030216,1,1.12,1.13,1.13,1.25
2016122409,00-0031045,1,1.10,1.00,1.00,1.00
2010121600,00-0022171,1,1.00,1.00,1.00,1.00
2011110601,00-0023176,2,1.13,1.10,1.00,1.00
2018123008,00-0029000,1,1.45,1.31,1.50,1.75
2010111409,00-0025399,1,1.25,2.00,2.00,2.00
2017100802,00-0027891,1,1.54,1.56,1.75,1.75
2015110803,00-0032218,2,1.33,1.00,1.00,1.00
2010010306,00-0024268,1,2.00,1.33,1.33,1.33
2014112400,00-0024466,2,1.81,1.56,1.38,1.75
2018112600,00-0033858,1,1.17,1.00,1.00,1.00
2017091708,00-0030279,2,1.62,1.75,1.88,1.25
2013111009,00-0027691,1,1.16,1.44,1.63,1.50
2013112100,00-0027696,2,1.86,1.81,2.25,1.75
2017091009,00-0031325,1,1.44,1.63,2.00,1.25
2015110806,00-0027793,3,2.15,2.00,2.00,2.25
2014100505,00-0024466,2,1.85,1.56,1.75,1.00
2017123105,00-0029319,1,1.13,1.22,1.25,1.50
2015113000,00-0029269,1,1.33,1.38,1.38,1.25
2018111104,00-0029608,2,1.73,1.88,1.75,1.75
2013121505,00-0026189,4,1.49,1.88,2.00,2.00
2011111000,00-0028020,3,1.00,1.00,1.00,1.00
2019121508,00-0035243,1,1.29,1.67,1.67,1.67
2012123000,00-0028091,2,1.31,1.80,1.75,1.75
2019091600,00-0031941,1,1.56,1.38,1.13,1.00
